Building ID,No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
G-A-48,0.75,0.17,0,0,0.14,0.019,2
G-A-54,0.5,0.38,0,0,0.41,0.053,4
G-A-56,0,0.18,0,1,0.55,0.028,1
G-A-57,0.25,0.18,0,0,0.4,0.021,3
G-A-59,0.75,0.18,0,0,0.19,0.119,4
G-A-68,0.5,0.2,0,0,0.33,0.126,4
G-B-1-A,0.75,0.18,0,0,0.26,0.031,3
G-B-1-B,0.75,0.18,0,0,0.33,0.057,3
G-B-2,0.25,0.17,0,0,0.32,0.017,2
G-B-22,0.25,0.46,0,1,0.24,0.01,2
G-B-24,0.5,0.18,0,0,0.38,0.019,2
G-B-31,0.25,0.26,0,0,0.27,0.005,4
G-B-33,0.25,0.18,0,0,0.35,0.011,2
G-B-38,0,0.18,0,0,0.45,0.006,2
G-B-41,0.25,0.18,0,1,0.69,0.022,3
G-B-46,0.5,0.18,0,0,0.25,0.026,2
G-B-47,0,0.24,0,0,0.67,0.024,2
G-B-48,0.5,0.18,0,1,0.3,0.018,2
G-B-50,0,0.18,0,1,0.49,0.016,2
G-C-10,0.25,0.18,0,0,0.35,0.009,3
G-C-23,0.25,0.18,0,1,0.41,0.006,2
G-C-26,0.25,0.18,0,0,0.42,0.011,2
G-C-3,0.25,0.18,0,0,0.54,0.029,2
G-C-30,0,0.18,0,0,0.42,0.008,2
G-C-37,0,0.18,0,0,0.44,0.028,2
G-C-38,0.25,0.18,0,0,0.5,0.023,2
G-C-39,0.75,0.18,0,0,0.3,0.013,2
G-C-40,0.25,0.18,0,0,0.32,0.032,4
G-C-45,0.5,0.33,0,0,0.35,0.01,2
G-C-7,0.25,0.18,0,0,0.34,0.006,2
G-D-7,0.25,0.18,0,1,0.4,0.014,2
I-A-2,0.25,0.14,0,1,0.36,0.003,1
I-A-5,0,0.35,0,0,0.38,0.013,1
I-B-10,0.25,0.18,0,1,0.36,0.006,1
I-B-12,0.25,0.41,0,1,0.59,0.047,1
I-B-15,0,0.27,0,0,0.43,0.006,1
I-B-16,0,0.18,0,0,0.71,0.045,1
I-C-19,0.5,0.27,0,1,0.43,0.009,1
I-C-20,0.5,0.35,0,1,0.36,0.005,1
I-C-21,0.5,0.41,0,1,0.17,0.006,1
I-C-22-A,0.75,0.38,0,1,0.16,0.012,1
I-C-22-B,0.75,0.38,0,1,0.21,0.005,1
I-C-23,0.75,0.39,0,0,0.24,0.023,1
I-C-24,0.75,0.39,0,0,0.22,0.015,1
I-C-25,1,0.39,0,1,0.27,0.075,1
I-D-27,0.25,0.5,0,0,0.44,0.052,1
I-D-28,0,0.43,0,0,0.61,0.017,1
I-D-30,0.5,0.18,0,1,0.28,0.017,1
I-D-70,0.75,0.34,0,0,0.21,0.008,4
I-E-31,0.75,0.27,0,0,0.29,0.016,4
I-E-32,0.75,0.25,0,0,0.25,0.013,3
I-E-33,0.75,0.47,0,0,0.25,0.023,1
I-E-34,0.75,0.18,0,0,0.28,0.018,4
I-E-35,0.75,0.39,0,0,0.26,0.031,1
I-F-38,0.25,0.18,0,0,0.49,0.078,4
I-F-39,0.5,0.21,0,1,0.29,0.008,1
I-F-42,0.5,0.18,0,0,0.61,0.025,4
I-F-44,0.25,0.18,0,0,0.47,0.026,1
I-F-45,0.75,0.18,0,0,0.26,0.106,1
I-F-46,0.25,0.18,0,0,0.51,0.041,1
I-G-50,0.5,0.18,0,0,0.32,0.006,1
I-I-65,0.25,0.3,0,0,0.36,0.01,1
I-I-66,0.25,0.29,0,0,0.24,0.01,1
I-I-67,0.75,0.18,0,0,0.24,0.016,1
I-I-68,0,0.18,0,0,0.5,0.016,3
I-J-79,0.25,0.38,0,0,0.17,0.005,1
I-K-81,0.75,0.36,0,0,0.37,0.021,3
I-K-82,0.25,0.38,0,0,0.31,0.005,4
I-L-90,0.25,0.42,0,1,0.34,0.018,2
I-M-105,0.25,0.44,0,1,0.6,0.027,4
I-N-112,0.75,0.18,0,0,0.3,0.032,2
I-N-117,0.25,0.45,0,0,0.44,0.017,3
K-EKS-1,0.25,0.18,0,0,0.33,0.019,2
K-EKS-10,0.5,0.39,0,1,0.41,0.026,2
K-EKS-11,0.25,0.18,0,0,0.27,0.032,2
K-EKS-2,0.75,0.24,0,1,0.23,0.013,3
K-EKS-3,0.75,0.18,0,0,0.32,0.181,3
K-EKS-4,0.75,0.24,0,0,0.24,0.015,3
K-EKS-5,0.75,0.36,0,0,0.43,0.029,3
K-EKS-6,0.25,0.36,0,0,0.46,0.016,2
K-EKS-7,0.5,0.18,0,0,0.22,0.009,3
K-EKS-8,0.5,0.42,0,0,0.36,0.024,3
K-EKS-9,0.25,0.35,0,1,0.18,0.001,2
