F_Length,F_Height,Gable,Gable_height,tot_area_opening,s_height,F_thickness,n_intwall_perp_f,n_intwall_paral_f,Length_perp_f,n_intwall_perp_back_f,Roof_A3_t_A1_m,P_O,Masonry_E_unf_B_fir,Mortar,length_brick,height_brick,staggering_brick,LEFT_Connec,rIGHT_Connec,Damage
6.8,2.45,0,0,3.331,0.35,0.23,2,1,6,2,3,1,2,2,0.26,0.065,0.13,1,1,0.153929479
6.3,3.3,1,0.5,0.9,0.7,0.18,1,1,8,1,3,2,2,2,0.28,0.085,0.1,1,1,0.516388915
8,2.8,0,0,2.52,0.7,0.18,2,1,6.3,1,3,1,2,2,0.28,0.085,0.1,1,1,0.115537039
6.7,3.7,1,1,0,0,0.15,2,1,7.7,1,3,2,2,2,0.25,0.08,0.125,0,0,0.140103961
7.7,2.7,0,0,3.96,0.7,0.15,2,1,6.7,1,3,1,2,2,0.25,0.08,0.125,0,0,0.106652965
5.3,2.8,1,0.5,0,0,0.15,1,1,9.8,1,3,2,2,2,0.26,0.07,0.13,0,0,0.104003535
9.8,2.3,0,0,2.6319,0.65,0.15,1,1,5.3,1,3,1,2,2,0.26,0.07,0.13,0,0,0.082319705
6.2,2.8,1,0.5,0,0,0.23,1,1,6.55,1,3,2,2,2,0.21,0.065,0.105,1,1,0.059615296
6.55,2.3,0,0,3.2005,0.35,0.23,1,1,6.2,1,3,1,2,2,0.21,0.065,0.105,1,1,0.409213857
6,3.7,1,1,1.7,0.73,0.18,2,2,11,3,3,2,2,2,0.29,0.105,0.145,1,0,0.158301755
11,2.7,0,0,7.56,0.73,0.18,2,2,6,3,3,1,2,2,0.29,0.105,0.145,1,0,0.088162432
4.4,3.4,1,0.6,0,0,0.13,1,1,4.4,0,3,2,2,2,0.3,0.08,0.16,0,0,0.127457497
6.4,2.8,0,0,1.215,0.7,0.13,1,1,4.4,0,3,1,2,2,0.3,0.08,0.16,0,0,0.09409532
6.5,2.8,1,0.6,0,0,0.13,1,1,6.5,1,1,2,2,2,0.26,0.06,0.13,0,0,0.077460271
6.5,2.2,0,0,3.06,0.3,0.13,1,1,4.4,1,1,1,2,2,0.26,0.06,0.13,0,0,0.078331855
3.4,2.45,1,0.4,0,0,0.15,1,1,5,1,1,2,2,2,0.26,0.06,0.13,0,0,0.048556005
5,2.05,0,0,3.2432,0.3,0.15,1,1,3.4,1,1,1,2,2,0.26,0.06,0.13,0,0,0.084257892
4.3,2.7,1,0.7,0,0,0.11,1,1,5.7,1,1,2,2,2,0.24,0.065,0.1,0,0,0.085639669
5.7,2.2,0,0,3.06,0.3,0.11,1,1,4.3,1,1,1,2,2,0.24,0.065,0.1,0,0,0.082463567
5.9,2.9,1,0.5,0.3431,0.65,0.15,1,1,7.9,1,3,2,2,2,0.26,0.06,0.13,0,0,0.09975302
9.9,2.4,0,0,2.7915,0.6,0.15,1,1,5.9,1,3,1,2,2,0.26,0.06,0.13,0,0,0.079870507
4.2,3.1,1,0.6,0,0,0.11,1,1,5.4,1,3,2,2,2,0.23,0.075,0.1,0,0,0.117478711
5.4,2.5,0,0,3.06,0.65,0.11,1,1,4.2,1,3,1,2,2,0.23,0.075,0.1,0,0,0.100513551
6,2.5,1,0.5,0,0,0.15,1,1,6,1,1,2,3,2,0.26,0.08,0.13,0,0,0.039047674
6,2,0,0,0.7725,0.3,0.15,1,1,4.8,1,1,1,3,2,0.26,0.08,0.13,0,0,0.043171008
4,2.7,1,0.5,0,0,0.16,0,0,4,0,1,2,2,2,0.3,0.08,0.15,0,0,0.038601034
4,2.2,0,0,1.08,0.35,0.16,0,0,4,0,1,1,2,2,0.3,0.08,0.15,0,0,0.062576923
5.4,3.03,1,0.5,0.39,0.6,0.15,1,1,5.4,1,3,2,2,2,0.27,0.09,0.135,0,0,0.087738332
7.1,2.53,0,0,4.5474,0.6,0.15,1,1,5.4,1,3,1,2,2,0.27,0.09,0.135,0,0,0.084942687
5,3.1,1,0.6,0.81,0.6,0.13,1,2,6.8,1,3,2,2,2,0.28,0.07,0.12,0,0,0.103660386
6.8,2.5,0,0,2.43,0.7,0.13,2,1,5,2,3,1,2,2,0.28,0.07,0.12,0,0,0.110673384
5.9,3.02,1,0.6,0,0,0.15,1,2,7.83,1,3,2,2,2,0.29,0.07,0.145,0,0,0.094763142
7.83,2.5,0,0,4.2464,0.55,0.15,2,1,5.9,2,3,1,2,2,0.29,0.07,0.145,0,0,0.111823028
6.3,3.3,1,0.6,0,0,0.2,1,1,11,2,1,2,2,2,0.26,0.08,0.13,1,1,0.092137263
11,2.7,0,0,4.95,0.8,0.2,2,1,6.3,2,1,1,2,2,0.26,0.08,0.13,1,1,0.348594088
5.4,2.69,1,0.5,0,0,0.2,1,1,5.4,1,3,2,2,2,0.26,0.08,0.13,1,1,0.047582536
5.4,2.25,0,0,2.205,0.5,0.2,1,1,4.5,1,3,1,2,2,0.26,0.08,0.13,1,1,0.108231665
4.6,3,0,0,0,0,0.12,1,1,5.7,1,3,2,3,2,0.275,0.07,0.135,0,0,0.050411976
5.7,2.5,0,0,3.06,0.65,0.12,1,1,5.35,1,3,1,3,2,0.275,0.07,0.135,0,0,0.073473347
2.66,2.65,0,0,0.935,0.55,0.12,1,1,5.35,1,3,2,2,2,0.28,0.07,0.14,0,0,0.134709697
5.35,2.25,0,0,2.22,0.5,0.12,1,1,2.66,1,3,1,2,2,0.28,0.07,0.14,0,0,0.090874523
3.1,2.6,0,0,0,0,0.13,0,1,3.1,0,3,2,2,2,0.25,0.07,0.1,0,0,0.047466166
3.1,2.6,0,0,2.25,0.7,0.13,1,0,3.1,1,3,1,2,2,0.25,0.07,0.1,0,0,0.124001685
5.5,3.2,1,0.7,0,0,0.1,1,1,5.5,1,3,2,2,2,0.25,0.085,0.1,0,0,0.119745951
8.5,2.5,0,0,3.465,0.65,0.1,1,1,5.5,1,3,1,2,2,0.25,0.085,0.1,0,0,0.105580891
4.5,2.8,1,0.5,0,0,0.15,0,0,6.45,0,3,2,2,2,0.26,0.065,0.13,0,0,0.086699217
6.45,2.3,0,0,2.997,0.5,0.15,1,0,4.5,1,3,1,2,2,0.26,0.065,0.13,0,0,0.100859915
3.5,2.6,1,0.5,0.405,0.3,0.13,0,1,5.4,0,1,2,2,2,0.27,0.065,0.14,0,0,0.039954433
5.4,2.1,0,0,2.485,0.25,0.13,1,0,3.5,1,1,1,2,2,0.27,0.065,0.14,0,0,0.090317372
5.2,3,1,0.5,0.405,0.75,0.13,1,2,8,1,1,2,2,2,0.27,0.07,0.095,0,0,0.073382848
8,2.6,0,0,4.14,0.75,0.13,2,1,5.2,2,1,1,2,2,0.27,0.07,0.095,0,0,0.087790359
5.3,2.6,1,0.5,1.241,0.35,0.14,1,1,5.75,1,1,2,2,2,0.26,0.07,0.13,0,0,0.077603691
5.75,2.11,0,0,0.9051,0.4,0.14,1,1,5.3,1,1,1,2,2,0.26,0.07,0.13,0,0,0.06815572
3.6,2.3,0,0,0,0,0.11,0,1,7.9,0,3,2,2,2,0.265,0.065,0.14,0,0,0.073707365
7.9,2.3,0,0,5.2,0.5,0.11,1,0,3.6,1,3,1,2,2,0.265,0.065,0.14,0,0,0.11020459
5.5,3.2,1,0.6,0,0,0.15,1,2,9,1,3,2,2,2,0.25,0.07,0.125,0,0,0.095277485
9,2.6,0,0,4,0.45,0.15,2,1,5.5,2,3,1,2,2,0.25,0.07,0.125,0,0,0.097240743
6.4,3.5,1,0.8,0,0,0.15,1,2,7.2,1,3,2,2,2,0.28,0.09,0.12,0,0,0.090374836
7.2,2.7,0,0,3.24,0.7,0.15,2,1,6.4,2,3,1,2,2,0.28,0.09,0.12,0,0,0.099923277
6.4,3.03,1,0.5,0,0,0.15,1,1,8.33,1,3,2,2,2,0.28,0.08,0.14,0,0,0.092051548
8.33,2.53,0,0,4.227,0.5,0.15,1,1,6.4,1,3,1,2,2,0.28,0.08,0.14,0,0,0.083875759
7,2.83,1,0.5,1.598,0.4,0.15,1,1,8.9,1,3,2,2,2,0.26,0.07,0.13,0,0,0.093063558
8.9,2.33,0,0,2.25,0.45,0.15,1,1,7,1,3,1,2,2,0.26,0.07,0.13,0,0,0.079514004
6.5,3.35,1,0.5,0.855,0.75,0.15,1,1,8.2,1,3,2,3,2,0.26,0.08,0.13,0,0,0.031507485
8.2,2.85,0,0,3.8475,0.75,0.15,1,1,6.5,1,3,1,3,2,0.26,0.08,0.13,0,0,0.072301828
6.2,3.2,1,0.9,0.9,0.4,0.15,1,1,6.8,1,3,2,2,2,0.25,0.08,0.125,0,0,0.095583455
6.18,2.3,0,0,3.44,0.4,0.15,1,1,6.2,1,3,1,2,2,0.25,0.08,0.125,0,0,0.086736396
7.35,2.9,1,0.5,0.9,0.5,0.23,1,1,8.9,1,3,2,3,2,0.25,0.06,0.125,0,0,0.03477559
8.9,2.4,0,0,1.8,0.5,0.23,1,1,7.35,1,3,1,3,2,0.25,0.06,0.125,0,0,0.061093748
4.9,2.9,1,0.5,0,0,0.15,1,1,7,1,1,2,3,2,0.28,0.075,0.14,0,0,0.05215626
