No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
0.25,0.18,0,0,0.51,0.041,1
0.5,0.18,0,0,0.32,0.006,1
0.25,0.3,0,0,0.36,0.01,1
0.25,0.29,0,0,0.24,0.01,1
0.75,0.18,0,0,0.24,0.016,1
0,0.18,0,0,0.5,0.016,3
0.25,0.38,0,0,0.17,0.005,1
0.75,0.36,0,0,0.37,0.021,3
0.25,0.38,0,0,0.31,0.005,4
0.25,0.42,0,1,0.34,0.018,2
0.25,0.44,0,1,0.6,0.027,4
0.75,0.18,0,0,0.3,0.032,2
0.25,0.45,0,0,0.44,0.017,3
0.25,0.18,0,0,0.33,0.019,2
0.5,0.39,0,1,0.41,0.026,2
0.25,0.18,0,0,0.27,0.032,2
0.75,0.24,0,1,0.23,0.013,3
0.75,0.18,0,0,0.32,0.181,3
0.75,0.24,0,0,0.24,0.015,3
0.75,0.36,0,0,0.43,0.029,3
0.25,0.36,0,0,0.46,0.016,2
0.5,0.18,0,0,0.22,0.009,3
0.5,0.42,0,0,0.36,0.024,3
0.25,0.35,0,1,0.18,0.001,2
0.75,0.36,0,1,0.26,0.019,2
0.75,0.39,0,0,0.27,0.023,3
0.5,0.18,0,0,0.21,0.019,4
0.5,0.18,0,0,0.35,0.03,3
0.75,0.18,0,0,0.27,0.05,3
0.5,0.36,0,1,0.39,0.027,2
0.5,0.36,0,1,0.48,0.023,2
0.5,0.18,0,0,0.27,0.025,3
0.75,0.24,0,0,0.21,0.034,4
0.5,0.39,0,1,0.2,0.003,3
0.75,0.31,0,0,0.24,0.027,4
0.75,0.31,0,0,0.24,0.008,3
0.5,0.18,0,0,0.31,0.011,3
0.75,0.31,0,0,0.23,0.011,2
0.25,0.18,0,1,0.18,0.004,3
0.5,0.18,0,0,0.27,0.029,3
0.25,0.3,0,0,0.29,0.006,3
0.25,0.55,0,1,0.36,0.018,2
0.75,0.36,0,0,0.27,0.018,3
