System Type,Year of cons.,No. of Story,Ground floor Area,Total Floor Area,Overhang Area,Story Heights Ground,Story Heights Normal,Irr-A1,Irr-A2,Irr-A3,Irr-A4,Irr-B1,Irr-B2,Irr-B3,X-dir - Frames,Y-dir - Frames,SSI,OR (Aover/Agrou),RNS,MNLSI,MNLSTFI,Damage Class
1,1983,4,85,340,7.9,3.4,2.9,2,2,1,2,2,1,2,2,4,1.172,,1,2.5358,0.0459,3
1,1973,4,260,1040,35.83,3.15,2.8,2,2,2,2,2,1,2,3,2,1.125,,1,2.4936,0.0925,1
1,1996,4,445,1780,25.47,3.5,2.7,1,2,2,1,2,1,1,3,8,1.296,,2,2.1573,0.0792,2
1,1975,3,139,417,28.71,3,3,2,2,2,1,2,2,2,3,4,1,,3,2.2462,0.0805,1
1,1980,3,124,372,0,3.6,3,2,2,2,2,2,1,2,4,4,1.2,,3,3.017,0.0648,3
1,1975,3,139,417,14.93,2.95,2.95,1,2,2,2,2,2,2,6,3,1,,3,3.1894,0.0939,2
1,1987,4,218.5,874,26.4,2.8,2.8,2,2,2,2,2,1,2,4,2,1,,1,4.3227,0.1895,2
1,1979,3,134,402,23.75,2.9,2.9,2,2,2,2,2,2,2,3,3,1,,2,1.5672,0.0317,1
2,1993,4,279,1116,16.72,2.9,2.9,2,2,2,2,2,2,2,4,2,1,,1,2.1013,0.0531,1
1,1993,3,121,363,0,2.9,2.9,1,2,2,2,2,2,2,1,5,1,,1,3.6598,0.0807,1
1,1986,4,218,872,3.72,2.75,2.75,1,2,2,2,2,1,2,1,3,1,,1,2.797,0.0582,1
1,1990,3,124,372,17.73,2.7,2.7,1,2,2,2,2,2,2,2,1,1,,1,3.1393,0.1156,1
1,1990,4,104,416,12.25,2.8,2.8,2,2,2,2,1,1,2,4,3,1,,3,2.3614,0.0579,1
1,1990,4,206,824,32.65,2.8,2.8,2,2,2,2,2,2,2,4,2,1,,1,1.9769,0.0601,3
1,1984,4,288,1152,43.75,2.9,2.9,1,2,2,2,2,2,2,2,3,1,,1,1.9035,0.1119,2
1,1991,4,451,2214,11.37,2.8,2.7,2,1,2,1,2,1,2,1,1,1.037,,1,2.1777,0.0937,1
1,1987,4,252,1008,19.87,3.75,2.7,1,1,2,1,2,1,2,1,3,1.389,,1,2.3813,0.0636,1
1,1985,5,163,815,18.71,3.3,2.8,1,2,2,2,2,1,2,4,4,1.179,,3,2.3552,0.0673,3
1,1989,5,109,545,8.75,3.5,2.8,2,2,2,2,2,1,2,8,2,1.25,,2,1.6422,0.0402,1
1,1975,4,254.6,1018.4,11.07,4,2.8,2,2,2,1,2,1,2,6,3,1.429,,2,2.1079,0.0421,3
1,1990,5,332.4,1662,6.5,3.5,2.8,2,2,2,2,2,2,2,5,4,1.25,,2,1.7077,0.0418,3
1,1991,6,306,1836,29.31,3.5,2.85,1,2,2,1,2,1,2,1,4,1.228,,1,2.4602,0.2911,3
1,1987,4,128,512,19.32,3.2,2.8,1,2,2,2,2,2,2,3,3,1.143,,2,2.2383,0.0408,1
1,1975,4,130,520,12.35,3.2,2.8,1,2,2,2,2,1,2,3,2,1.143,,1,2.2058,0.0591,1
